Wyoming,579315,442832,3.95253e-323
Wisconsin,5795483,4512839,3.95253e-323
West Virginia,1815857,1446139,3.95253e-323
Washington,7405743,5759927,3.95253e-323
Virginia,8470020,6600844,3.95253e-323
Vermont,623657,506832,3.95253e-323
Utah,3101833,2175134,3.95253e-323
Texas,28304596,20938557,3.95253e-323
Tennessee,6715984,5208482,3.95253e-323
South Dakota,869666,654810,3.95253e-323
South Carolina,5024369,3919695,3.95253e-323
Rhode Island,1059639,852307,3.95253e-323
Puerto Rico,3337177,2680381,3.95253e-323
Pennsylvania,12805537,10141022,3.95253e-323
Oregon,4142776,3269157,3.95253e-323
Oklahoma,3930864,2971579,3.95253e-323
Ohio,11658609,9053374,3.95253e-323
North Dakota,755393,579621,3.95253e-323
North Carolina,10273419,7971073,3.95253e-323
New York,19849399,15694902,3.95253e-323
New Mexico,2088070,1599980,3.95253e-323
New Jersey,9005644,7026626,3.95253e-323
New Hampshire,1342795,1084022,3.95253e-323
Nevada,2998039,2312576,3.95253e-323
Nebraska,1920076,1444343,3.95253e-323
Montana,1050493,821604,3.95253e-323
Missouri,6113532,4730561,3.95253e-323
Mississippi,2984100,2270533,3.95253e-323
Minnesota,5576606,4277949,3.95253e-323
Michigan,9962311,7785662,3.95253e-323
Massachusetts,6859819,5489864,3.95253e-323
Maryland,6052177,4704671,3.95253e-323
Maine,1335907,1083273,3.95253e-323
Louisiana,4684333,3575930,3.95253e-323
Kentucky,4454189,3443650,3.95253e-323
Kansas,2913123,2200585,3.95253e-323
Iowa,3145711,2413764,3.95253e-323
Indiana,6666818,5093409,3.95253e-323
Illinois,12802023,9904838,3.95253e-323
Idaho,1716943,1273151,3.95253e-323
Hawaii,1427538,1121794,3.95253e-323
Georgia,10429379,7914681,3.95253e-323
Florida,20984400,16782417,3.95253e-323
District of Columbia,693972,569480,3.95253e-323
Delaware,961939,757455,3.95253e-323
Connecticut,3588184,2844358,3.95253e-323
Colorado,5607154,4345321,3.95253e-323
California,39536653,30476517,3.95253e-323
Arkansas,3004279,2298739,3.95253e-323
Arizona,7016270,5382780,3.95253e-323
Alaska,739795,554867,3.95253e-323
Alabama,4874747,3779274,3.95253e-323
End of Original Node List
